,store,address,phone
38,순화동라마다호텔점,서울시 중구 칠패로 27 151호  ,02-3789-3347
39,신촌점,서울시 서대문구 창천 18-26호 B1  ,02-363-5572
40,건대스타시티점,서울시 광진구 자양동 227-342호 롯데백화점 옆 더클래식500건물 1층  ,02-444-9861
41,하나은행경복궁역점,"서울시 종로구 사직로 130,1 현대적선빌딩1층  ",02-733-5108
42,서울스퀘어점,서울시 중구 한강대로 416 지하1층  ,02-6456-8907
43,목동점,서울시 양천구 목동동로 293 현대41타워1층  ,02-2654-5981
44,여의도교보증권점,서울시 영등포구 의사당대로 97 26-4 교보증권빌딩1층  ,02-783-6058
45,여의도순복음교회옆점,서울시 영등포구 여의서로 43 한서리버파크2층  ,02-780-7758
46,일산웨스턴돔1호점,경기도 고양시 일산동구 정발산로 24 I동103~203호  ,031-931-5573
47,분당차병원점,"경기도 성남시 분당구 야탑로65번길 16, 분당차병원 신관동 1층 101호(야탑동)  ",031-781-0471
48,분당수내점,경기도 성남시 분당구 황새울로 214번길8 MSPlaza내1층  ,031-713-9937
49,동탄라마다호텔점,경기도 화성시 노작로 199 동탄라마다호텔107호~111호  ,031-8003-8374
50,창원상남동점,경남 창원시 성산구 중앙대로 104 마이우스오피스텔 123호 207호  ,055-211-0737
51,청주지웰시티점,"충북 청주시 흥덕구 대농로 17 지웰시티몰 1층 124-1,125,126호  ",043-238-3151
52,무교CBTL점,서울 중구 세종대로 136 파이낸스빌딩 지하2층  ,070-4140-7003
53,국기원사거리점,서울시 강남구 테헤란로 8길 42 1층  ,02-552-7106 
54,무교점,"서울시 중구 태평로1 84호 SFC빌딩B1,1-4  ",02-753-2374
55,남대문점,서울시 중구 후암로110 581호 서울시티타워1층  ,02-777-4217
56,대학로마로니에점,"서울시 종로구 대학로 12길 62 지하1층,지상1,2층  ",02-742-3318
57,인사점,서울시 종로구 낙원동 272 오라카이스위츠 1층  ,02-783-2043
58,테헤란로비젼타워점,서울시 강남구 테헤란로 312 707-2번지1층  ,02-558-7101
59,서울대입구역점,"서울시 관악구 관악로 161 층일부 2,3층  ",02-882-3101
60,코엑스웨스틴서울점,서울시 강남구 봉은사로 524 코엑스 인터컨티넨탈아케이드  ,02-569-3103
61,뉴압구정점,서울시 강남구 논현로 167길 9 낙산프라자 1층  ,02-545-3181
62,디큐브시티점,서울시 구로구 경인로 662 디큐브시티 4층  ,02-2210-9484
